,signal,col2,anot
0,150315,4.74,
1,150316,4.745,
2,150317,4.735,
3,150318,4.72,
4,150319,4.675,
5,150320,4.635,
6,150321,4.59,
7,150322,4.545,
8,150323,4.595,
9,150324,4.775,
10,150325,4.845,
11,150326,5.295,
12,150327,5.695,
13,150328,6.0,
14,150329,6.105,
15,150330,5.86,N
16,150331,5.295,
17,150332,4.81,
18,150333,4.64,
19,150334,4.625,
20,150335,4.675,
21,150336,4.71,
22,150337,4.715,
23,150338,4.71,
24,150339,4.715,
25,150340,4.725,
26,150341,4.7,
27,150342,4.7,
28,150343,4.695,
29,150344,4.71,
0,150514,4.78,
1,150515,4.785,
2,150516,4.77,
3,150517,4.71,
4,150518,4.645,
5,150519,4.62,
6,150520,4.58,
7,150521,4.58,
8,150522,4.725,
9,150523,4.96,
10,150524,5.26,
11,150525,5.36,
12,150526,6.015,
13,150527,6.235,
14,150528,6.125,
15,150529,5.63,N
16,150530,5.005,
17,150531,4.69,
18,150532,4.7,
19,150533,4.745,
20,150534,4.76,
21,150535,4.75,
22,150536,4.755,
23,150537,4.755,
24,150538,4.73,
25,150539,4.73,
26,150540,4.74,
27,150541,4.745,
28,150542,4.72,
29,150543,4.72,
0,150713,4.8,
1,150714,4.805,
2,150715,4.815,
3,150716,4.795,
4,150717,4.735,
5,150718,4.69,
6,150719,4.66,
7,150720,4.6,
8,150721,4.58,
9,150722,4.715,
10,150723,4.955,
11,150724,5.265,
12,150725,5.38,
13,150726,6.05,
14,150727,6.165,
15,150728,5.83,N
16,150729,5.18,
17,150730,4.72,
18,150731,4.68,
19,150732,4.755,
20,150733,4.78,
21,150734,4.76,
22,150735,4.76,
23,150736,4.775,
24,150737,4.765,
25,150738,4.75,
26,150739,4.745,
27,150740,4.76,
28,150741,4.765,
29,150742,4.755,
0,150910,4.8,
1,150911,4.81,
2,150912,4.81,
3,150913,4.78,
4,150914,4.76,
5,150915,4.705,
6,150916,4.675,
7,150917,4.6,
8,150918,4.58,
9,150919,4.74,
10,150920,4.95,
11,150921,5.22,
12,150922,5.6,
13,150923,5.955,
14,150924,6.085,
15,150925,6.08,N
16,150926,5.32,
17,150927,4.855,
18,150928,4.675,
19,150929,4.63,
20,150930,4.64,
21,150931,4.715,
22,150932,4.76,
23,150933,4.75,
24,150934,4.735,
25,150935,4.74,
26,150936,4.765,
27,150937,4.76,
28,150938,4.75,
29,150939,4.74,
0,151114,4.805,
1,151115,4.805,
2,151116,4.805,
3,151117,4.76,
4,151118,4.715,
5,151119,4.685,
6,151120,4.64,
7,151121,4.63,
8,151122,4.745,
9,151123,4.965,
10,151124,5.235,
11,151125,5.34,
12,151126,5.96,
13,151127,6.175,
14,151128,6.1,
15,151129,5.68,N
16,151130,5.135,
17,151131,4.785,
18,151132,4.68,
19,151133,4.69,
20,151134,4.715,
21,151135,4.755,
22,151136,4.775,
23,151137,4.765,
24,151138,4.765,
25,151139,4.76,
26,151140,4.765,
27,151141,4.77,
28,151142,4.765,
29,151143,4.755,
0,151312,4.815,
1,151313,4.795,
2,151314,4.735,
3,151315,4.7,
4,151316,4.675,
5,151317,4.605,
6,151318,4.575,
7,151319,4.67,
8,151320,4.83,
9,151321,5.02,
10,151322,5.26,
11,151323,5.605,
12,151324,5.98,
13,151325,6.08,
14,151326,6.265,
15,151327,6.07,N
16,151328,5.57,
17,151329,5.045,
18,151330,4.745,
19,151331,4.685,
20,151332,4.735,
21,151333,4.78,
22,151334,4.79,
23,151335,4.785,
24,151336,4.795,
25,151337,4.795,
26,151338,4.785,
27,151339,4.765,
28,151340,4.775,
29,151341,4.785,
0,151520,4.825,
1,151521,4.81,
2,151522,4.785,
3,151523,4.755,
4,151524,4.72,
5,151525,4.7,
6,151526,4.63,
7,151527,4.58,
8,151528,4.655,
9,151529,4.82,
10,151530,5.015,
11,151531,5.305,
12,151532,5.675,
13,151533,5.99,
14,151534,6.145,
15,151535,6.06,N
16,151536,5.665,
17,151537,5.08,
18,151538,4.73,
19,151539,4.685,
20,151540,4.77,
21,151541,4.8,
22,151542,4.78,
23,151543,4.77,
24,151544,4.785,
25,151545,4.78,
26,151546,4.78,
27,151547,4.755,
28,151548,4.755,
29,151549,4.765,
0,151732,4.8,
1,151733,4.785,
2,151734,4.775,
3,151735,4.765,
4,151736,4.73,
5,151737,4.67,
6,151738,4.605,
7,151739,4.54,
8,151740,4.61,
9,151741,4.795,
10,151742,5.0,
11,151743,5.295,
12,151744,5.705,
13,151745,5.985,
14,151746,6.025,
15,151747,5.72,N
16,151748,5.195,
17,151749,4.82,
18,151750,4.74,
19,151751,4.665,
20,151752,4.72,
21,151753,4.735,
22,151754,4.725,
23,151755,4.72,
24,151756,4.735,
25,151757,4.735,
26,151758,4.74,
27,151759,4.73,
28,151760,4.72,
29,151761,4.73,
0,151937,4.785,
1,151938,4.77,
2,151939,4.735,
3,151940,4.695,
4,151941,4.66,
5,151942,4.61,
6,151943,4.555,
7,151944,4.64,
8,151945,4.825,
9,151946,5.06,
10,151947,5.37,
11,151948,5.77,
12,151949,6.07,
13,151950,6.145,
14,151951,6.295,
15,151952,6.31,N
16,151953,6.14,
17,151954,5.82,
18,151955,5.375,
19,151956,4.91,
20,151957,4.675,
21,151958,4.65,
22,151959,4.695,
23,151960,4.74,
24,151961,4.75,
25,151962,4.75,
26,151963,4.725,
27,151964,4.715,
28,151965,4.735,
29,151966,4.735,
0,152124,4.765,
1,152125,4.765,
2,152126,4.74,
3,152127,4.725,
4,152128,4.7,
5,152129,4.65,
6,152130,4.62,
7,152131,4.57,
8,152132,4.56,
9,152133,4.725,
10,152134,4.965,
11,152135,5.29,
12,152136,5.725,
13,152137,6.1,
14,152138,6.195,
15,152139,5.88,N
16,152140,5.225,
17,152141,4.715,
18,152142,4.635,
19,152143,4.71,
20,152144,4.755,
21,152145,4.75,
22,152146,4.735,
23,152147,4.715,
24,152148,4.72,
25,152149,4.725,
26,152150,4.725,
27,152151,4.71,
28,152152,4.71,
29,152153,4.715,
0,152317,4.79,
1,152318,4.78,
2,152319,4.79,
3,152320,4.78,
4,152321,4.725,
5,152322,4.675,
6,152323,4.645,
7,152324,4.605,
8,152325,4.59,
9,152326,4.83,
10,152327,5.07,
11,152328,5.405,
12,152329,5.795,
13,152330,6.095,
14,152331,6.14,
15,152332,5.82,N
16,152333,5.195,
17,152334,4.73,
18,152335,4.68,
19,152336,4.76,
20,152337,4.8,
21,152338,4.775,
22,152339,4.765,
23,152340,4.79,
24,152341,4.8,
25,152342,4.79,
26,152343,4.78,
27,152344,4.77,
28,152345,4.77,
29,152346,4.77,
0,152515,4.79,
1,152516,4.8,
2,152517,4.79,
3,152518,4.77,
4,152519,4.755,
5,152520,4.725,
6,152521,4.685,
7,152522,4.605,
8,152523,4.6,
9,152524,4.75,
10,152525,4.815,
11,152526,5.28,
12,152527,5.685,
13,152528,6.01,
14,152529,6.1,
15,152530,5.8,N
16,152531,5.245,
17,152532,4.81,
18,152533,4.68,
19,152534,4.685,
20,152535,4.715,
21,152536,4.745,
22,152537,4.755,
23,152538,4.77,
24,152539,4.765,
25,152540,4.765,
26,152541,4.76,
27,152542,4.755,
28,152543,4.74,
29,152544,4.755,
0,152716,4.84,
1,152717,4.845,
2,152718,4.835,
3,152719,4.805,
4,152720,4.755,
5,152721,4.72,
6,152722,4.68,
7,152723,4.63,
8,152724,4.72,
9,152725,4.765,
10,152726,5.155,
11,152727,5.485,
12,152728,5.89,
13,152729,6.18,
14,152730,6.2,
15,152731,5.815,N
16,152732,5.21,
17,152733,4.795,
18,152734,4.7,
19,152735,4.75,
20,152736,4.805,
21,152737,4.825,
22,152738,4.82,
23,152739,4.81,
24,152740,4.81,
25,152741,4.82,
26,152742,4.805,
27,152743,4.785,
28,152744,4.785,
29,152745,4.8,
0,152906,4.805,
1,152907,4.805,
2,152908,4.755,
3,152909,4.695,
4,152910,4.67,
5,152911,4.635,
6,152912,4.585,
7,152913,4.645,
8,152914,4.785,
9,152915,4.99,
10,152916,5.185,
11,152917,5.445,
12,152918,5.77,
13,152919,6.095,
14,152920,6.28,
15,152921,6.27,N
16,152922,5.875,
17,152923,5.235,
18,152924,4.805,
19,152925,4.725,
20,152926,4.775,
21,152927,4.805,
22,152928,4.82,
23,152929,4.805,
24,152930,4.795,
25,152931,4.785,
26,152932,4.785,
27,152933,4.785,
28,152934,4.78,
29,152935,4.76,
0,153111,4.765,
1,153112,4.77,
2,153113,4.77,
3,153114,4.75,
4,153115,4.75,
5,153116,4.735,
6,153117,4.67,
7,153118,4.61,
8,153119,4.59,
9,153120,4.56,
10,153121,4.615,
11,153122,4.775,
12,153123,5.01,
13,153124,5.305,
14,153125,5.415,
15,153126,6.01,N
16,153127,6.135,
17,153128,5.94,
18,153129,5.41,
19,153130,4.86,
20,153131,4.64,
21,153132,4.665,
22,153133,4.73,
23,153134,4.75,
24,153135,4.725,
25,153136,4.73,
26,153137,4.74,
27,153138,4.745,
28,153139,4.715,
29,153140,4.725,
0,153324,4.745,
1,153325,4.745,
2,153326,4.715,
3,153327,4.68,
4,153328,4.64,
5,153329,4.635,
6,153330,4.58,
7,153331,4.535,
8,153332,4.615,
9,153333,4.81,
10,153334,5.035,
11,153335,5.35,
12,153336,5.735,
13,153337,5.99,
14,153338,5.995,
15,153339,5.645,N
16,153340,5.085,
17,153341,4.725,
18,153342,4.615,
19,153343,4.605,
20,153344,4.665,
21,153345,4.7,
22,153346,4.71,
23,153347,4.7,
24,153348,4.7,
25,153349,4.7,
26,153350,4.695,
27,153351,4.675,
28,153352,4.675,
29,153353,4.675,
0,153527,4.785,
1,153528,4.8,
2,153529,4.78,
3,153530,4.72,
4,153531,4.66,
5,153532,4.635,
6,153533,4.62,
7,153534,4.675,
8,153535,4.865,
9,153536,5.09,
10,153537,5.35,
11,153538,5.665,
12,153539,5.97,
13,153540,6.18,
14,153541,6.29,
15,153542,6.16,N
16,153543,5.65,
17,153544,4.98,
18,153545,4.69,
19,153546,4.705,
20,153547,4.755,
21,153548,4.78,
22,153549,4.77,
23,153550,4.775,
24,153551,4.765,
25,153552,4.75,
26,153553,4.76,
27,153554,4.775,
28,153555,4.76,
29,153556,4.75,
0,153706,4.85,
1,153707,4.86,
2,153708,4.87,
3,153709,4.855,
4,153710,4.825,
5,153711,4.77,
6,153712,4.735,
7,153713,4.69,
8,153714,4.66,
9,153715,4.8,
10,153716,5.075,
11,153717,5.375,
12,153718,5.765,
13,153719,6.155,
14,153720,6.345,
15,153721,6.145,N
16,153722,5.51,
17,153723,4.875,
18,153724,4.74,
19,153725,4.745,
20,153726,4.845,
21,153727,4.845,
22,153728,4.845,
23,153729,4.845,
24,153730,4.835,
25,153731,4.82,
26,153732,4.83,
27,153733,4.84,
28,153734,4.82,
29,153735,4.81,
0,153898,4.865,
1,153899,4.875,
2,153900,4.885,
3,153901,4.86,
4,153902,4.815,
5,153903,4.775,
6,153904,4.735,
7,153905,4.685,
8,153906,4.71,
9,153907,4.915,
10,153908,5.19,
11,153909,5.53,
12,153910,5.95,
13,153911,6.29,
14,153912,6.43,
15,153913,6.34,N
16,153914,5.93,
17,153915,5.325,
18,153916,4.88,
19,153917,4.76,
20,153918,4.765,
21,153919,4.83,
22,153920,4.865,
23,153921,4.86,
24,153922,4.845,
25,153923,4.835,
26,153924,4.83,
27,153925,4.83,
28,153926,4.825,
29,153927,4.825,
0,154099,4.825,
1,154100,4.835,
2,154101,4.825,
3,154102,4.795,
4,154103,4.77,
5,154104,4.725,
6,154105,4.68,
7,154106,4.63,
8,154107,4.62,
9,154108,4.755,
10,154109,4.94,
11,154110,5.215,
12,154111,5.585,
13,154112,5.95,
14,154113,6.135,
15,154114,5.975,N
16,154115,5.43,
17,154116,4.91,
18,154117,4.705,
19,154118,4.685,
20,154119,4.725,
21,154120,4.79,
22,154121,4.785,
23,154122,4.775,
24,154123,4.76,
25,154124,4.785,
26,154125,4.79,
27,154126,4.765,
28,154127,4.75,
29,154128,4.75,
0,154311,4.82,
1,154312,4.825,
2,154313,4.81,
3,154314,4.77,
4,154315,4.71,
5,154316,4.69,
6,154317,4.65,
7,154318,4.615,
8,154319,4.73,
9,154320,4.97,
10,154321,5.23,
11,154322,5.575,
12,154323,5.955,
13,154324,6.2,
14,154325,6.245,
15,154326,5.71,N
16,154327,5.075,
17,154328,4.74,
18,154329,4.695,
19,154330,4.745,
20,154331,4.765,
21,154332,4.78,
22,154333,4.79,
23,154334,4.785,
24,154335,4.77,
25,154336,4.77,
26,154337,4.78,
27,154338,4.785,
28,154339,4.77,
29,154340,4.775,
0,154508,4.74,
1,154509,4.69,
2,154510,4.66,
3,154511,4.63,
4,154512,4.58,
5,154513,4.54,
6,154514,4.54,
7,154515,4.62,
8,154516,4.75,
9,154517,4.955,
10,154518,5.17,
11,154519,5.46,
12,154520,5.86,
13,154521,6.175,
14,154522,6.305,
15,154523,6.155,N
16,154524,5.625,
17,154525,5.43,
18,154526,4.71,
19,154527,4.7,
20,154528,4.78,
21,154529,4.8,
22,154530,4.785,
23,154531,4.77,
24,154532,4.765,
25,154533,4.775,
26,154534,4.76,
27,154535,4.755,
28,154536,4.745,
29,154537,4.755,
0,154708,4.81,
1,154709,4.81,
2,154710,4.775,
3,154711,4.745,
4,154712,4.7,
5,154713,4.67,
6,154714,4.62,
7,154715,4.59,
8,154716,4.66,
9,154717,4.865,
10,154718,5.095,
11,154719,5.415,
12,154720,5.81,
13,154721,6.125,
14,154722,6.195,
15,154723,5.915,N
16,154724,5.305,
17,154725,5.105,
18,154726,4.665,
19,154727,4.71,
20,154728,4.755,
21,154729,4.765,
22,154730,4.75,
23,154731,4.75,
24,154732,4.75,
25,154733,4.76,
26,154734,4.75,
27,154735,4.735,
28,154736,4.74,
29,154737,4.745,
0,154919,4.735,
1,154920,4.72,
2,154921,4.69,
3,154922,4.645,
4,154923,4.59,
5,154924,4.545,
6,154925,4.535,
7,154926,4.72,
8,154927,4.86,
9,154928,5.01,
10,154929,5.215,
11,154930,5.52,
12,154931,5.835,
13,154932,6.09,
14,154933,6.13,
15,154934,5.855,N
16,154935,5.295,
17,154936,4.84,
18,154937,4.67,
19,154938,4.645,
20,154939,4.685,
21,154940,4.72,
22,154941,4.73,
23,154942,4.73,
24,154943,4.72,
25,154944,4.72,
26,154945,4.705,
27,154946,4.71,
28,154947,4.705,
29,154948,4.685,
0,155121,4.825,
1,155122,4.815,
2,155123,4.795,
3,155124,4.795,
4,155125,4.785,
5,155126,4.695,
6,155127,4.655,
7,155128,4.63,
8,155129,4.67,
9,155130,4.865,
10,155131,5.115,
11,155132,5.45,
12,155133,5.88,
13,155134,6.225,
14,155135,6.265,
15,155136,5.91,N
16,155137,5.24,
17,155138,4.765,
18,155139,4.66,
19,155140,4.735,
20,155141,4.795,
21,155142,4.8,
22,155143,4.775,
23,155144,4.76,
24,155145,4.775,
25,155146,4.785,
26,155147,4.77,
27,155148,4.76,
28,155149,4.765,
29,155150,4.77,
0,155301,4.855,
1,155302,4.845,
2,155303,4.835,
3,155304,4.815,
4,155305,4.77,
5,155306,4.705,
6,155307,4.66,
7,155308,4.635,
8,155309,4.745,
9,155310,4.95,
10,155311,5.12,
11,155312,5.315,
12,155313,5.645,
13,155314,6.06,
14,155315,6.325,
15,155316,6.34,N
16,155317,5.865,
17,155318,5.155,
18,155319,4.765,
19,155320,4.725,
20,155321,4.805,
21,155322,4.83,
22,155323,4.805,
23,155324,4.815,
24,155325,4.82,
25,155326,4.81,
26,155327,4.785,
27,155328,4.79,
28,155329,4.805,
29,155330,4.805,
0,155489,4.835,
1,155490,4.825,
2,155491,4.835,
3,155492,4.83,
4,155493,4.78,
5,155494,4.72,
6,155495,4.685,
7,155496,4.655,
8,155497,4.675,
9,155498,4.85,
10,155499,5.115,
11,155500,5.205,
12,155501,5.85,
13,155502,6.18,
14,155503,6.225,
15,155504,5.88,N
16,155505,5.215,
17,155506,4.77,
18,155507,4.705,
19,155508,4.79,
20,155509,4.82,
21,155510,4.815,
22,155511,4.805,
23,155512,4.81,
24,155513,4.82,
25,155514,4.805,
26,155515,4.795,
27,155516,4.805,
28,155517,4.81,
29,155518,4.8,
0,155689,4.77,
1,155690,4.76,
2,155691,4.78,
3,155692,4.77,
4,155693,4.71,
5,155694,4.64,
6,155695,4.6,
7,155696,4.58,
8,155697,4.675,
9,155698,4.86,
10,155699,5.11,
11,155700,5.205,
12,155701,5.845,
13,155702,6.09,
14,155703,6.045,
15,155704,5.605,N
16,155705,5.005,
17,155706,4.685,
18,155707,4.64,
19,155708,4.695,
20,155709,4.735,
21,155710,4.74,
22,155711,4.74,
23,155712,4.76,
24,155713,4.75,
25,155714,4.73,
26,155715,4.71,
27,155716,4.73,
28,155717,4.745,
29,155718,4.75,
0,155899,4.83,
1,155900,4.83,
2,155901,4.825,
3,155902,4.785,
4,155903,4.745,
5,155904,4.71,
6,155905,4.67,
7,155906,4.63,
8,155907,4.67,
9,155908,4.885,
10,155909,5.14,
11,155910,5.44,
12,155911,5.82,
13,155912,6.15,
14,155913,6.27,
15,155914,6.09,N
16,155915,5.53,
17,155916,4.935,
18,155917,4.695,
19,155918,4.695,
20,155919,4.755,
21,155920,4.78,
22,155921,4.79,
23,155922,4.785,
24,155923,4.775,
25,155924,4.775,
26,155925,4.78,
27,155926,4.77,
28,155927,4.765,
29,155928,4.755,
0,156095,4.8,
1,156096,4.805,
2,156097,4.785,
3,156098,4.74,
4,156099,4.695,
5,156100,4.69,
6,156101,4.655,
7,156102,4.59,
8,156103,4.62,
9,156104,4.805,
10,156105,5.05,
11,156106,5.31,
12,156107,5.67,
13,156108,6.055,
14,156109,6.275,
15,156110,6.21,N
16,156111,5.74,
17,156112,5.105,
18,156113,4.75,
19,156114,4.685,
20,156115,4.74,
21,156116,4.79,
22,156117,4.79,
23,156118,4.78,
24,156119,4.765,
25,156120,4.765,
26,156121,4.775,
27,156122,4.77,
28,156123,4.75,
29,156124,4.75,
