,sel_name,signal,hu_who_anot,anot,ovni,nue
4,sel100,150330,q1c,N,1,
12,sel100,150529,q1c,N,1,
20,sel100,150728,q1c,N,0,
28,sel100,150925,q1c,N,1,
36,sel100,151129,q1c,N,1,
44,sel100,151327,q1c,N,1,
52,sel100,151535,q1c,N,1,
60,sel100,151747,q1c,N,1,
68,sel100,151952,q1c,N,1,
76,sel100,152139,q1c,N,1,
84,sel100,152332,q1c,N,1,
92,sel100,152530,q1c,N,1,
100,sel100,152731,q1c,N,1,
108,sel100,152921,q1c,N,1,
116,sel100,153126,q1c,N,1,
124,sel100,153339,q1c,N,1,
132,sel100,153542,q1c,N,1,
140,sel100,153721,q1c,N,1,
148,sel100,153913,q1c,N,1,
156,sel100,154114,q1c,N,1,
164,sel100,154326,q1c,N,1,
172,sel100,154523,q1c,N,1,
180,sel100,154723,q1c,N,1,
188,sel100,154934,q1c,N,1,
196,sel100,155136,q1c,N,1,
204,sel100,155316,q1c,N,1,
212,sel100,155504,q1c,N,1,
220,sel100,155704,q1c,N,1,
228,sel100,155914,q1c,N,1,
236,sel100,156110,q1c,N,1,
1,sel102,150253,q1c,N,1,
8,sel102,150453,q1c,N,1,
15,sel102,150663,q1c,N,1,
22,sel102,150875,q1c,N,1,
29,sel102,151086,q1c,N,1,
36,sel102,151313,q1c,N,2,
43,sel102,152106,q1c,N,1,
50,sel102,152321,q1c,N,1,
57,sel102,152548,q1c,N,2,
64,sel102,152744,q1c,N,1,
71,sel102,152954,q1c,N,1,
78,sel102,153159,q1c,N,1,
85,sel102,153363,q1c,N,2,
92,sel102,153555,q1c,N,1,
99,sel102,153765,q1c,N,1,
106,sel102,153983,q1c,N,1,
113,sel102,154816,q1c,N,2,
120,sel102,155015,q1c,N,2,
127,sel102,155224,q1c,N,2,
134,sel102,155439,q1c,N,2,
141,sel102,155656,q1c,N,2,
148,sel102,155858,q1c,N,0,
155,sel102,156057,q1c,N,2,
162,sel102,156263,q1c,N,2,
169,sel102,157095,q1c,N,2,
176,sel102,157298,q1c,N,4,
183,sel102,158117,q1c,N,2,
190,sel102,158315,q1c,N,1,
197,sel102,158531,q1c,N,1,
204,sel102,158755,q1c,N,2,
211,sel102,158950,q1c,N,1,
218,sel102,159154,q1c,N,4,
225,sel102,159356,q1c,N,2,
232,sel102,159562,q1c,N,2,
239,sel102,161009,q1c,N,0,
246,sel102,161223,q1c,N,2,
253,sel102,162655,q1c,N,1,
260,sel102,162869,q1c,N,1,
267,sel102,163082,q1c,N,1,
274,sel102,163291,q1c,N,1,
281,sel102,163494,q1c,N,1,
288,sel102,163699,q1c,N,1,
295,sel102,163907,q1c,N,2,
302,sel102,164108,q1c,N,2,
309,sel102,164316,q1c,N,1,
316,sel102,164530,q1c,N,1,
323,sel102,164736,q1c,N,1,
330,sel102,164944,q1c,N,1,
337,sel102,165144,q1c,N,1,
344,sel102,165549,q1c,N,1,
351,sel102,168652,q1c,N,1,
358,sel102,168867,q1c,N,1,
365,sel102,169899,q1c,N,4,
372,sel102,170956,q1c,N,4,
379,sel102,171348,q1c,N,4,
386,sel102,171982,q1c,N,4,
393,sel102,172806,q1c,N,4,
400,sel102,173006,q1c,N,4,
407,sel102,175308,q1c,N,3,
414,sel102,175699,q1c,N,4,
421,sel102,176958,q1c,N,3,
428,sel102,178610,q1c,N,3,
435,sel102,181494,q1c,N,4,
442,sel102,182951,q1c,N,4,
449,sel102,183146,q1c,N,4,
456,sel102,183352,q1c,N,4,
463,sel102,184392,q1c,N,4,
470,sel102,185848,q1c,N,4,
477,sel102,186044,q1c,N,4,
484,sel102,186657,q1c,N,4,
491,sel102,187493,q1c,N,4,
498,sel102,189147,q1c,N,4,
505,sel102,190792,q1c,N,4,
512,sel102,191645,q1c,N,3,
519,sel102,191849,q1c,N,3,
526,sel102,194753,q1c,N,3,
533,sel102,194953,q1c,N,3,
540,sel102,196406,q1c,N,3,
547,sel102,196603,q1c,N,3,
554,sel102,201983,q1c,N,3,
561,sel102,205299,q1c,N,3,
568,sel102,205498,q1c,N,3,
575,sel102,220986,q1c,N,6,
582,sel102,223681,q1c,N,6,
589,sel102,224092,q1c,N,6,
4,sel103,150280,q1c,N,1,
14,sel103,150489,q1c,N,1,
24,sel103,150695,q1c,N,1,
34,sel103,150904,q1c,N,1,
44,sel103,151125,q1c,N,1,
54,sel103,151343,q1c,N,1,
64,sel103,151566,q1c,N,1,
74,sel103,151792,q1c,N,1,
84,sel103,151998,q1c,N,1,
94,sel103,152203,q1c,N,1,
104,sel103,152411,q1c,N,1,
114,sel103,152629,q1c,N,1,
124,sel103,152848,q1c,N,1,
134,sel103,153061,q1c,N,1,
144,sel103,153284,q1c,N,1,
154,sel103,153494,q1c,N,0,
164,sel103,153694,q1c,N,1,
174,sel103,153901,q1c,N,1,
184,sel103,154118,q1c,N,1,
194,sel103,154338,q1c,N,1,
204,sel103,154556,q1c,N,1,
214,sel103,154778,q1c,N,1,
224,sel103,154988,q1c,N,0,
234,sel103,155195,q1c,N,1,
244,sel103,155404,q1c,N,1,
254,sel103,155616,q1c,N,1,
264,sel103,155844,q1c,N,1,
274,sel103,156060,q1c,N,0,
284,sel103,156273,q1c,N,1,
294,sel103,156492,q1c,N,1,
1,sel104,150386,q1c,N,3,
9,sel104,150592,q1c,N,3,
18,sel104,150801,q1c,N,3,
24,sel104,150993,q1c,N,3,
29,sel104,151184,q1c,N,1,
34,sel104,151397,q1c,N,1,
39,sel104,151609,q1c,N,1,
44,sel104,151811,q1c,N,1,
49,sel104,152030,q1c,N,2,
54,sel104,152224,q1c,N,1,
59,sel104,152402,q1c,N,3,
67,sel104,152613,q1c,N,4,
76,sel104,152822,q1c,N,3,
81,sel104,153031,q1c,N,1,
86,sel104,153234,q1c,N,1,
91,sel104,153443,q1c,N,1,
96,sel104,153646,q1c,N,1,
101,sel104,153853,q1c,N,0,
106,sel104,154041,q1c,N,1,
113,sel104,154234,q1c,N,3,
122,sel104,154461,q1c,N,3,
128,sel104,154678,q1c,N,2,
133,sel104,154863,q1c,N,1,
138,sel104,155071,q1c,N,1,
143,sel104,155262,q1c,N,1,
148,sel104,155456,q1c,N,1,
153,sel104,155660,q1c,N,1,
160,sel104,155877,q1c,N,3,
168,sel104,156091,q1c,N,3,
174,sel104,156302,q1c,N,1,
179,sel104,156500,q1c,N,2,
184,sel104,156699,q1c,N,2,
189,sel104,156881,q1c,N,1,
194,sel104,157076,q1c,N,1,
199,sel104,157286,q1c,N,1,
206,sel104,157506,q1c,N,3,
214,sel104,157701,q1c,N,3,
219,sel104,158511,q1c,N,2,
224,sel104,158919,q1c,N,3,
232,sel104,159137,q1c,N,3,
238,sel104,159552,q1c,N,2,
243,sel104,159940,q1c,N,2,
248,sel104,160141,q1c,N,2,
253,sel104,160544,q1c,N,3,
261,sel104,160767,q1c,N,3,
267,sel104,161172,q1c,N,2,
272,sel104,162162,q1c,N,3,
277,sel104,162390,q1c,N,4,
283,sel104,162588,q1c,N,3,
288,sel104,163996,q1c,N,3,
293,sel104,164201,q1c,N,3,
299,sel104,164404,q1c,N,3,
304,sel104,165993,q1c,N,3,
309,sel104,166210,q1c,N,3,
315,sel104,166412,q1c,N,3,
320,sel104,168022,q1c,N,3,
328,sel104,168256,q1c,N,4,
337,sel104,168455,q1c,N,3,
342,sel104,169876,q1c,N,3,
350,sel104,170074,q1c,N,3,
359,sel104,170266,q1c,N,3,
364,sel104,171686,q1c,N,3,
369,sel104,172924,q1c,N,2,
374,sel104,173935,q1c,N,2,
379,sel104,174149,q1c,N,2,
384,sel104,174354,q1c,N,2,
389,sel104,176169,q1c,N,2,
394,sel104,177414,q1c,N,2,
399,sel104,177602,q1c,N,2,
404,sel104,184074,q1c,N,2,
409,sel104,188138,q1c,N,2,
414,sel104,188338,q1c,N,2,
419,sel104,188964,q1c,N,2,
427,sel104,190362,q1c,N,4,
435,sel104,213721,q1c,N,4,
444,sel104,215954,q1c,N,4,
453,sel104,223261,q1c,N,4,
4,sel114,150246,q1c,N,1,
12,sel114,150485,q1c,N,1,
20,sel114,150736,q1c,N,1,
28,sel114,150976,q1c,N,1,
36,sel114,151205,q1c,N,1,
44,sel114,151439,q1c,N,1,
52,sel114,151663,q1c,N,1,
60,sel114,151901,q1c,N,1,
68,sel114,152142,q1c,N,1,
76,sel114,152377,q1c,N,1,
84,sel114,152606,q1c,N,1,
92,sel114,152840,q1c,N,1,
100,sel114,153067,q1c,N,1,
108,sel114,153285,q1c,N,1,
116,sel114,153534,q1c,N,1,
124,sel114,153775,q1c,N,1,
132,sel114,154007,q1c,N,1,
140,sel114,154244,q1c,N,1,
148,sel114,154472,q1c,N,1,
156,sel114,154694,q1c,N,1,
165,sel114,154934,q1c,N,1,
173,sel114,155183,q1c,N,1,
181,sel114,155420,q1c,N,0,
189,sel114,155646,q1c,N,1,
197,sel114,155876,q1c,N,1,
205,sel114,156106,q1c,N,1,
213,sel114,156323,q1c,N,1,
221,sel114,156575,q1c,N,1,
229,sel114,156810,q1c,N,1,
237,sel114,157035,q1c,N,1,
245,sel114,210471,q1c,N,4,
253,sel114,210741,q1c,N,4,
261,sel114,210992,q1c,N,4,
269,sel114,211256,q1c,N,4,
277,sel114,211501,q1c,N,4,
285,sel114,212522,q1c,N,4,
293,sel114,212778,q1c,N,4,
301,sel114,213022,q1c,N,4,
309,sel114,213259,q1c,N,4,
317,sel114,213522,q1c,N,4,
325,sel114,213785,q1c,N,4,
333,sel114,214031,q1c,N,4,
341,sel114,214286,q1c,N,4,
349,sel114,214527,q1c,N,4,
357,sel114,214756,q1c,N,4,
365,sel114,215008,q1c,N,4,
373,sel114,215266,q1c,N,4,
381,sel114,215506,q1c,N,4,
389,sel114,215757,q1c,N,4,
397,sel114,216002,q1c,N,4,
4,sel116,150283,q1c,N,1,
12,sel116,150467,q1c,N,1,
22,sel116,150655,q1c,N,1,
32,sel116,150842,q1c,N,1,
42,sel116,152321,q1c,N,1,
52,sel116,153101,q1c,N,1,
62,sel116,153885,q1c,N,1,
72,sel116,154645,q1c,N,1,
82,sel116,154835,q1c,N,1,
92,sel116,155026,q1c,N,1,
102,sel116,155224,q1c,N,1,
112,sel116,155418,q1c,N,1,
122,sel116,155612,q1c,N,1,
132,sel116,155813,q1c,N,1,
140,sel116,156010,q1c,N,1,
150,sel116,156214,q1c,N,1,
160,sel116,156412,q1c,N,1,
168,sel116,156610,q1c,N,1,
178,sel116,156812,q1c,N,1,
186,sel116,157007,q1c,N,1,
196,sel116,157199,q1c,N,1,
206,sel116,157394,q1c,N,1,
216,sel116,157579,q1c,N,4,
224,sel116,157773,q1c,N,1,
234,sel116,157959,q1c,N,1,
244,sel116,158141,q1c,N,4,
254,sel116,158334,q1c,N,1,
264,sel116,158521,q1c,N,1,
272,sel116,158703,q1c,N,4,
280,sel116,158891,q1c,N,1,
288,sel116,159647,q1c,N,4,
296,sel116,159839,q1c,N,1,
306,sel116,160026,q1c,N,1,
314,sel116,160209,q1c,N,4,
322,sel116,160397,q1c,N,4,
330,sel116,160581,q1c,N,4,
338,sel116,160775,q1c,N,1,
346,sel116,161154,q1c,N,4,
356,sel116,166605,q1c,N,4,
364,sel116,166987,q1c,N,4,
372,sel116,167560,q1c,N,4,
380,sel116,168133,q1c,N,4,
388,sel116,169096,q1c,N,4,
396,sel116,171919,q1c,N,4,
404,sel116,196419,q1c,N,4,
412,sel116,197552,q1c,N,4,
422,sel116,214875,q1c,N,4,
432,sel116,215454,q1c,N,4,
440,sel116,216220,q1c,N,4,
450,sel116,216984,q1c,N,4,
4,sel117,150503,q1c,N,1,
14,sel117,150799,q1c,N,1,
24,sel117,151088,q1c,N,1,
34,sel117,151374,q1c,N,1,
44,sel117,151672,q1c,N,1,
52,sel117,151961,q1c,N,1,
62,sel117,152254,q1c,N,1,
70,sel117,152544,q1c,N,1,
80,sel117,152838,q1c,N,1,
88,sel117,153126,q1c,N,1,
98,sel117,153412,q1c,N,1,
108,sel117,153710,q1c,N,1,
116,sel117,154000,q1c,N,1,
124,sel117,154292,q1c,N,1,
134,sel117,154586,q1c,N,1,
142,sel117,154872,q1c,N,1,
150,sel117,155160,q1c,N,1,
158,sel117,155457,q1c,N,1,
166,sel117,155749,q1c,N,1,
176,sel117,156054,q1c,N,1,
186,sel117,156340,q1c,N,1,
194,sel117,156644,q1c,N,1,
202,sel117,156931,q1c,N,1,
210,sel117,157234,q1c,N,1,
218,sel117,157526,q1c,N,1,
226,sel117,157829,q1c,N,1,
234,sel117,158125,q1c,N,1,
242,sel117,158417,q1c,N,1,
250,sel117,158713,q1c,N,1,
258,sel117,158997,q1c,N,1,
4,sel123,150419,q1c,N,1,
14,sel123,150758,q1c,N,1,
24,sel123,151102,q1c,N,1,
34,sel123,151417,q1c,N,1,
44,sel123,151756,q1c,N,1,
54,sel123,152086,q1c,N,1,
64,sel123,152407,q1c,N,1,
74,sel123,152736,q1c,N,1,
84,sel123,153057,q1c,N,1,
94,sel123,153378,q1c,N,1,
104,sel123,153682,q1c,N,1,
114,sel123,154010,q1c,N,1,
124,sel123,154315,q1c,N,1,
134,sel123,154641,q1c,N,1,
144,sel123,154966,q1c,N,1,
154,sel123,155266,q1c,N,1,
164,sel123,155565,q1c,N,1,
174,sel123,155887,q1c,N,1,
184,sel123,156170,q1c,N,1,
194,sel123,156447,q1c,N,1,
204,sel123,156719,q1c,N,1,
214,sel123,156963,q1c,N,1,
222,sel123,157208,q1c,N,1,
232,sel123,157452,q1c,N,1,
242,sel123,157690,q1c,N,1,
252,sel123,157951,q1c,N,1,
262,sel123,158321,q1c,N,1,
272,sel123,158670,q1c,N,1,
282,sel123,159025,q1c,N,1,
292,sel123,159358,q1c,N,1,
4,sel14046,150191,q1c,N,1,
12,sel14046,150372,q1c,N,1,
20,sel14046,150557,q1c,N,1,
28,sel14046,150741,q1c,N,1,
36,sel14046,150923,q1c,N,1,
44,sel14046,151104,q1c,N,1,
52,sel14046,151283,q1c,N,1,
60,sel14046,151466,q1c,N,1,
68,sel14046,151647,q1c,N,1,
76,sel14046,151828,q1c,N,1,
84,sel14046,152008,q1c,N,1,
92,sel14046,152197,q1c,N,1,
100,sel14046,152380,q1c,N,1,
109,sel14046,152565,q1c,N,1,
117,sel14046,152757,q1c,N,1,
125,sel14046,152954,q1c,N,1,
133,sel14046,153143,q1c,N,1,
141,sel14046,153330,q1c,N,1,
149,sel14046,153525,q1c,N,1,
157,sel14046,153722,q1c,N,1,
165,sel14046,153908,q1c,N,1,
174,sel14046,154092,q1c,N,1,
182,sel14046,154280,q1c,N,1,
190,sel14046,154473,q1c,N,1,
198,sel14046,154660,q1c,N,1,
206,sel14046,154841,q1c,N,1,
214,sel14046,155029,q1c,N,1,
222,sel14046,155221,q1c,N,1,
230,sel14046,155408,q1c,N,1,
238,sel14046,155595,q1c,N,1,
246,sel14046,203184,q1c,N,12,
1,sel14157,150690,q1c,N,1,
11,sel14157,150898,q1c,N,1,
21,sel14157,151106,q1c,N,1,
31,sel14157,151312,q1c,N,1,
41,sel14157,151519,q1c,N,1,
49,sel14157,151727,q1c,N,1,
57,sel14157,151932,q1c,N,1,
67,sel14157,152142,q1c,N,1,
72,sel14157,152348,q1c,N,1,
80,sel14157,152554,q1c,N,1,
90,sel14157,152762,q1c,N,1,
98,sel14157,152966,q1c,N,1,
106,sel14157,153173,q1c,N,1,
114,sel14157,153380,q1c,N,1,
122,sel14157,153586,q1c,N,1,
130,sel14157,153793,q1c,N,1,
140,sel14157,154002,q1c,N,1,
148,sel14157,154209,q1c,N,1,
156,sel14157,154417,q1c,N,1,
164,sel14157,154626,q1c,N,1,
172,sel14157,154835,q1c,N,1,
180,sel14157,155044,q1c,N,1,
188,sel14157,155252,q1c,N,1,
198,sel14157,155459,q1c,N,1,
206,sel14157,155669,q1c,N,1,
214,sel14157,156507,q1c,N,1,
222,sel14157,156715,q1c,N,1,
230,sel14157,156927,q1c,N,1,
238,sel14157,157136,q1c,N,1,
246,sel14157,157349,q1c,N,1,
4,sel14172,150496,q1c,N,1,
16,sel14172,150833,q1c,N,1,
28,sel14172,151173,q1c,N,1,
40,sel14172,151499,q1c,N,1,
52,sel14172,151824,q1c,N,1,
64,sel14172,152149,q1c,N,1,
76,sel14172,152483,q1c,N,1,
88,sel14172,152803,q1c,N,1,
100,sel14172,153135,q1c,N,1,
112,sel14172,153465,q1c,N,1,
124,sel14172,153803,q1c,N,1,
136,sel14172,154122,q1c,N,1,
148,sel14172,154452,q1c,N,1,
160,sel14172,154804,q1c,N,1,
172,sel14172,155137,q1c,N,1,
184,sel14172,155470,q1c,N,1,
196,sel14172,155805,q1c,N,1,
208,sel14172,156162,q1c,N,2,
220,sel14172,156494,q1c,N,2,
232,sel14172,156810,q1c,N,1,
244,sel14172,157135,q1c,N,1,
256,sel14172,157464,q1c,N,1,
268,sel14172,157793,q1c,N,1,
280,sel14172,158125,q1c,N,1,
292,sel14172,158466,q1c,N,1,
304,sel14172,158789,q1c,N,1,
316,sel14172,159139,q1c,N,1,
328,sel14172,159504,q1c,N,1,
340,sel14172,159865,q1c,N,1,
352,sel14172,160206,q1c,N,1,
364,sel14172,160541,q1c,N,1,
376,sel14172,160889,q1c,N,1,
388,sel14172,162621,q1c,N,2,
400,sel14172,163324,q1c,N,2,
412,sel14172,164743,q1c,N,2,
424,sel14172,166463,q1c,N,2,
436,sel14172,167913,q1c,N,2,
448,sel14172,169720,q1c,N,2,
460,sel14172,170443,q1c,N,2,
472,sel14172,190281,q1c,N,2,
484,sel14172,190633,q1c,N,2,
496,sel14172,192811,q1c,N,2,
508,sel14172,201624,q1c,N,2,
520,sel14172,204808,q1c,N,2,
532,sel14172,205517,q1c,N,2,
544,sel14172,206930,q1c,N,2,
556,sel14172,208016,q1c,N,2,
568,sel14172,216581,q1c,N,2,
580,sel14172,216924,q1c,N,2,
592,sel14172,217272,q1c,N,2,
4,sel15814,150218,q1c,N,1,
12,sel15814,150438,q1c,N,1,
20,sel15814,150657,q1c,N,1,
28,sel15814,150877,q1c,N,1,
36,sel15814,151093,q1c,N,1,
44,sel15814,151313,q1c,N,1,
52,sel15814,151531,q1c,N,1,
60,sel15814,151751,q1c,N,1,
68,sel15814,151971,q1c,N,1,
76,sel15814,152191,q1c,N,1,
84,sel15814,152411,q1c,N,1,
92,sel15814,152632,q1c,N,1,
100,sel15814,152853,q1c,N,1,
108,sel15814,153074,q1c,N,1,
116,sel15814,153297,q1c,N,1,
124,sel15814,153519,q1c,N,1,
132,sel15814,154630,q1c,N,1,
140,sel15814,154854,q1c,N,1,
148,sel15814,155073,q1c,N,1,
156,sel15814,155295,q1c,N,1,
164,sel15814,155517,q1c,N,1,
172,sel15814,155739,q1c,N,1,
180,sel15814,155961,q1c,N,1,
188,sel15814,156182,q1c,N,1,
196,sel15814,156404,q1c,N,1,
204,sel15814,156625,q1c,N,1,
212,sel15814,156844,q1c,N,1,
220,sel15814,157064,q1c,N,1,
228,sel15814,157283,q1c,N,1,
236,sel15814,157502,q1c,N,1,
4,sel16265,150435,q1c,N,1,
12,sel16265,150633,q1c,N,1,
20,sel16265,150812,q1c,N,1,
28,sel16265,150984,q1c,N,1,
36,sel16265,151155,q1c,N,1,
44,sel16265,151327,q1c,N,1,
52,sel16265,151500,q1c,N,1,
60,sel16265,151673,q1c,N,1,
68,sel16265,151859,q1c,N,1,
76,sel16265,152054,q1c,N,1,
84,sel16265,152243,q1c,N,1,
92,sel16265,152428,q1c,N,1,
100,sel16265,152623,q1c,N,1,
108,sel16265,152819,q1c,N,1,
116,sel16265,153003,q1c,N,1,
124,sel16265,153181,q1c,N,1,
132,sel16265,153362,q1c,N,1,
140,sel16265,153542,q1c,N,1,
148,sel16265,153723,q1c,N,1,
156,sel16265,153903,q1c,N,1,
164,sel16265,154084,q1c,N,1,
172,sel16265,154271,q1c,N,1,
180,sel16265,154458,q1c,N,1,
188,sel16265,154638,q1c,N,1,
196,sel16265,154821,q1c,N,1,
204,sel16265,155013,q1c,N,1,
212,sel16265,155206,q1c,N,1,
220,sel16265,155393,q1c,N,1,
228,sel16265,155575,q1c,N,1,
236,sel16265,155764,q1c,N,1,
4,sel16272,150452,q1c,N,1,
12,sel16272,150722,q1c,N,1,
20,sel16272,150988,q1c,N,1,
28,sel16272,151258,q1c,N,1,
36,sel16272,151530,q1c,N,1,
44,sel16272,151798,q1c,N,1,
52,sel16272,152062,q1c,N,1,
60,sel16272,152328,q1c,N,1,
68,sel16272,152597,q1c,N,1,
76,sel16272,152861,q1c,N,1,
84,sel16272,153122,q1c,N,1,
92,sel16272,153387,q1c,N,1,
100,sel16272,153654,q1c,N,1,
108,sel16272,153917,q1c,N,1,
116,sel16272,154182,q1c,N,1,
124,sel16272,154450,q1c,N,1,
132,sel16272,154723,q1c,N,1,
140,sel16272,154990,q1c,N,1,
148,sel16272,155257,q1c,N,0,
156,sel16272,155529,q1c,N,1,
164,sel16272,155798,q1c,N,1,
172,sel16272,156062,q1c,N,1,
180,sel16272,156330,q1c,N,1,
188,sel16272,156601,q1c,N,1,
196,sel16272,156859,q1c,N,1,
204,sel16272,157121,q1c,N,1,
212,sel16272,157383,q1c,N,1,
220,sel16272,157648,q1c,N,1,
228,sel16272,157910,q1c,N,1,
236,sel16272,158178,q1c,N,1,
4,sel16273,150308,q1c,N,1,
12,sel16273,150514,q1c,N,1,
20,sel16273,150725,q1c,N,1,
28,sel16273,150928,q1c,N,1,
36,sel16273,151132,q1c,N,1,
44,sel16273,151330,q1c,N,1,
52,sel16273,151524,q1c,N,1,
60,sel16273,151713,q1c,N,1,
68,sel16273,151907,q1c,N,1,
76,sel16273,152111,q1c,N,1,
84,sel16273,152312,q1c,N,1,
92,sel16273,152523,q1c,N,1,
100,sel16273,152741,q1c,N,1,
108,sel16273,152954,q1c,N,1,
116,sel16273,153171,q1c,N,1,
124,sel16273,153390,q1c,N,1,
132,sel16273,153596,q1c,N,1,
140,sel16273,153799,q1c,N,1,
148,sel16273,154006,q1c,N,1,
156,sel16273,154209,q1c,N,1,
164,sel16273,154407,q1c,N,1,
172,sel16273,154614,q1c,N,1,
180,sel16273,154824,q1c,N,1,
188,sel16273,155025,q1c,N,1,
196,sel16273,155232,q1c,N,1,
204,sel16273,155446,q1c,N,1,
212,sel16273,155655,q1c,N,1,
220,sel16273,155861,q1c,N,1,
228,sel16273,156073,q1c,N,1,
236,sel16273,156282,q1c,N,1,
4,sel16420,150296,q1c,N,1,
12,sel16420,150514,q1c,N,1,
20,sel16420,150720,q1c,N,1,
28,sel16420,150926,q1c,N,1,
36,sel16420,151137,q1c,N,1,
44,sel16420,151351,q1c,N,1,
52,sel16420,151555,q1c,N,1,
60,sel16420,151766,q1c,N,1,
68,sel16420,151983,q1c,N,1,
76,sel16420,152190,q1c,N,1,
84,sel16420,152401,q1c,N,1,
92,sel16420,152624,q1c,N,1,
100,sel16420,152835,q1c,N,1,
108,sel16420,153040,q1c,N,1,
116,sel16420,153256,q1c,N,1,
124,sel16420,153479,q1c,N,1,
132,sel16420,153687,q1c,N,1,
140,sel16420,153898,q1c,N,1,
148,sel16420,154113,q1c,N,1,
156,sel16420,154328,q1c,N,1,
164,sel16420,154535,q1c,N,1,
172,sel16420,154754,q1c,N,1,
180,sel16420,154983,q1c,N,1,
188,sel16420,155201,q1c,N,1,
196,sel16420,155421,q1c,N,1,
204,sel16420,155647,q1c,N,1,
212,sel16420,155865,q1c,N,1,
220,sel16420,156073,q1c,N,1,
228,sel16420,156287,q1c,N,1,
236,sel16420,156506,q1c,N,1,
4,sel16483,150308,q1c,N,1,
12,sel16483,150512,q1c,N,1,
20,sel16483,150715,q1c,N,1,
28,sel16483,150915,q1c,N,1,
36,sel16483,151119,q1c,N,1,
44,sel16483,151324,q1c,N,1,
52,sel16483,151526,q1c,N,1,
60,sel16483,151728,q1c,N,1,
68,sel16483,151930,q1c,N,1,
76,sel16483,152134,q1c,N,1,
84,sel16483,152337,q1c,N,1,
92,sel16483,152538,q1c,N,1,
100,sel16483,152737,q1c,N,1,
108,sel16483,152936,q1c,N,1,
116,sel16483,153136,q1c,N,1,
124,sel16483,153334,q1c,N,1,
132,sel16483,153532,q1c,N,1,
140,sel16483,153731,q1c,N,1,
148,sel16483,153931,q1c,N,1,
156,sel16483,154134,q1c,N,1,
164,sel16483,154337,q1c,N,1,
172,sel16483,154538,q1c,N,1,
180,sel16483,154745,q1c,N,1,
188,sel16483,154948,q1c,N,1,
196,sel16483,155150,q1c,N,1,
204,sel16483,155352,q1c,N,1,
212,sel16483,155554,q1c,N,1,
220,sel16483,155762,q1c,N,1,
228,sel16483,155982,q1c,N,1,
236,sel16483,156193,q1c,N,1,
4,sel16539,150230,q1c,N,1,
13,sel16539,150452,q1c,N,1,
22,sel16539,150665,q1c,N,1,
31,sel16539,150879,q1c,N,1,
40,sel16539,151135,q1c,N,1,
49,sel16539,151420,q1c,N,1,
58,sel16539,151729,q1c,N,1,
67,sel16539,152010,q1c,N,1,
76,sel16539,152233,q1c,N,1,
85,sel16539,152439,q1c,N,1,
94,sel16539,152640,q1c,N,1,
103,sel16539,152844,q1c,N,1,
112,sel16539,153033,q1c,N,1,
121,sel16539,153221,q1c,N,1,
130,sel16539,153412,q1c,N,1,
139,sel16539,153625,q1c,N,1,
148,sel16539,153824,q1c,N,1,
157,sel16539,154028,q1c,N,1,
166,sel16539,154252,q1c,N,1,
175,sel16539,154467,q1c,N,1,
184,sel16539,154684,q1c,N,1,
193,sel16539,154926,q1c,N,1,
202,sel16539,155144,q1c,N,1,
211,sel16539,155487,q1c,N,1,
