,sel_name,signal,hu_who_anot,anot,ovni,nue
220,sel16539,155812,q1c,N,1,
229,sel16539,156076,q1c,N,1,
238,sel16539,156397,q1c,N,1,
247,sel16539,156692,q1c,N,1,
256,sel16539,156950,q1c,N,1,
265,sel16539,157194,q1c,N,1,
4,sel16773,150302,q1c,N,1,
14,sel16773,150542,q1c,N,1,
24,sel16773,150768,q1c,N,1,
34,sel16773,150991,q1c,N,1,
44,sel16773,151210,q1c,N,1,
54,sel16773,151418,q1c,N,1,
64,sel16773,151627,q1c,N,1,
74,sel16773,151862,q1c,N,1,
84,sel16773,152101,q1c,N,1,
94,sel16773,152334,q1c,N,1,
104,sel16773,152567,q1c,N,1,
114,sel16773,152796,q1c,N,1,
124,sel16773,153013,q1c,N,1,
134,sel16773,153236,q1c,N,1,
144,sel16773,153469,q1c,N,1,
154,sel16773,153696,q1c,N,1,
164,sel16773,153917,q1c,N,1,
174,sel16773,154146,q1c,N,1,
184,sel16773,154375,q1c,N,1,
194,sel16773,154595,q1c,N,1,
204,sel16773,154824,q1c,N,1,
214,sel16773,155062,q1c,N,1,
224,sel16773,155287,q1c,N,1,
234,sel16773,155506,q1c,N,1,
244,sel16773,155750,q1c,N,1,
254,sel16773,156003,q1c,N,1,
264,sel16773,156242,q1c,N,1,
274,sel16773,156469,q1c,N,1,
284,sel16773,156685,q1c,N,1,
294,sel16773,156897,q1c,N,1,
4,sel16786,150370,q1c,N,1,
13,sel16786,150605,q1c,N,1,
22,sel16786,150854,q1c,N,1,
31,sel16786,151110,q1c,N,1,
40,sel16786,151363,q1c,N,1,
49,sel16786,151601,q1c,N,1,
58,sel16786,151826,q1c,N,1,
67,sel16786,152064,q1c,N,1,
76,sel16786,152311,q1c,N,1,
85,sel16786,152548,q1c,N,1,
94,sel16786,152775,q1c,N,1,
103,sel16786,153021,q1c,N,1,
112,sel16786,153280,q1c,N,1,
121,sel16786,153533,q1c,N,1,
130,sel16786,153772,q1c,N,1,
139,sel16786,154027,q1c,N,1,
148,sel16786,154282,q1c,N,1,
157,sel16786,154521,q1c,N,1,
166,sel16786,154758,q1c,N,1,
175,sel16786,155001,q1c,N,1,
184,sel16786,155241,q1c,N,1,
193,sel16786,155471,q1c,N,1,
202,sel16786,155698,q1c,N,1,
211,sel16786,155934,q1c,N,1,
220,sel16786,156179,q1c,N,1,
229,sel16786,156420,q1c,N,1,
238,sel16786,156651,q1c,N,1,
247,sel16786,156904,q1c,N,1,
256,sel16786,157147,q1c,N,1,
265,sel16786,157393,q1c,N,1,
4,sel16795,150540,q1c,N,1,
13,sel16795,150795,q1c,N,1,
22,sel16795,151110,q1c,N,1,
31,sel16795,151426,q1c,N,1,
40,sel16795,151735,q1c,N,1,
49,sel16795,152024,q1c,N,1,
58,sel16795,152323,q1c,N,1,
67,sel16795,152636,q1c,N,1,
75,sel16795,152942,q1c,N,1,
84,sel16795,153218,q1c,N,1,
93,sel16795,153506,q1c,N,1,
102,sel16795,153812,q1c,N,1,
111,sel16795,154115,q1c,N,1,
120,sel16795,154396,q1c,N,1,
129,sel16795,154705,q1c,N,1,
138,sel16795,155024,q1c,N,1,
147,sel16795,155335,q1c,N,1,
156,sel16795,155623,q1c,N,1,
165,sel16795,155924,q1c,N,1,
174,sel16795,156239,q1c,N,1,
183,sel16795,156550,q1c,N,1,
192,sel16795,156838,q1c,N,1,
201,sel16795,157143,q1c,N,1,
210,sel16795,157463,q1c,N,1,
219,sel16795,157774,q1c,N,1,
228,sel16795,158059,q1c,N,1,
237,sel16795,158371,q1c,N,1,
246,sel16795,158681,q1c,N,1,
255,sel16795,158983,q1c,N,1,
264,sel16795,159256,q1c,N,1,
4,sel17152,150173,q1c,N,12,
13,sel17152,150310,q1c,N,12,
22,sel17152,150447,q1c,N,0,
31,sel17152,150582,q1c,N,12,
40,sel17152,150720,q1c,N,12,
49,sel17152,150855,q1c,N,12,
58,sel17152,150992,q1c,N,12,
67,sel17152,151128,q1c,N,0,
76,sel17152,151263,q1c,N,12,
85,sel17152,151400,q1c,N,12,
94,sel17152,151535,q1c,N,12,
103,sel17152,151671,q1c,N,12,
112,sel17152,151808,q1c,N,12,
121,sel17152,151945,q1c,N,12,
130,sel17152,152082,q1c,N,12,
139,sel17152,152218,q1c,N,12,
148,sel17152,152355,q1c,N,12,
157,sel17152,152492,q1c,N,12,
166,sel17152,152628,q1c,N,0,
175,sel17152,152765,q1c,N,12,
184,sel17152,152904,q1c,N,12,
193,sel17152,153041,q1c,N,12,
202,sel17152,153177,q1c,N,12,
211,sel17152,153316,q1c,N,12,
220,sel17152,153453,q1c,N,12,
229,sel17152,153591,q1c,N,12,
238,sel17152,153728,q1c,N,12,
247,sel17152,153865,q1c,N,12,
256,sel17152,154003,q1c,N,12,
265,sel17152,154140,q1c,N,12,
4,sel17453,150276,q1c,N,1,
15,sel17453,150483,q1c,N,1,
26,sel17453,150721,q1c,N,1,
37,sel17453,150993,q1c,N,1,
48,sel17453,151232,q1c,N,1,
59,sel17453,151468,q1c,N,0,
68,sel17453,151712,q1c,N,1,
77,sel17453,151949,q1c,N,1,
88,sel17453,152169,q1c,N,1,
99,sel17453,152391,q1c,N,1,
108,sel17453,152620,q1c,N,1,
117,sel17453,152837,q1c,N,1,
128,sel17453,153053,q1c,N,1,
140,sel17453,153277,q1c,N,1,
151,sel17453,153508,q1c,N,1,
162,sel17453,153721,q1c,N,1,
173,sel17453,153927,q1c,N,1,
182,sel17453,154137,q1c,N,1,
193,sel17453,154352,q1c,N,1,
204,sel17453,154551,q1c,N,1,
213,sel17453,154744,q1c,N,1,
222,sel17453,154951,q1c,N,1,
231,sel17453,155169,q1c,N,1,
242,sel17453,155399,q1c,N,1,
253,sel17453,155597,q1c,N,1,
265,sel17453,155790,q1c,N,1,
277,sel17453,155998,q1c,N,1,
286,sel17453,156234,q1c,N,1,
295,sel17453,156461,q1c,N,1,
306,sel17453,156693,q1c,N,1,
4,sel213,150215,q1c,N,5,
12,sel213,150352,q1c,N,1,
20,sel213,150490,q1c,N,1,
28,sel213,150629,q1c,N,1,
36,sel213,150767,q1c,N,3,
44,sel213,150909,q1c,N,1,
52,sel213,151043,q1c,N,1,
60,sel213,151174,q1c,N,1,
68,sel213,151311,q1c,N,1,
76,sel213,151446,q1c,N,1,
84,sel213,151588,q1c,N,1,
92,sel213,151726,q1c,N,1,
100,sel213,151866,q1c,N,1,
108,sel213,152001,q1c,N,2,
116,sel213,152142,q1c,N,1,
124,sel213,152274,q1c,N,1,
132,sel213,152410,q1c,N,3,
140,sel213,152554,q1c,N,1,
148,sel213,152694,q1c,N,4,
156,sel213,153243,q1c,N,1,
164,sel213,153382,q1c,N,1,
172,sel213,153513,q1c,N,1,
180,sel213,153653,q1c,N,1,
188,sel213,153793,q1c,N,1,
196,sel213,153930,q1c,N,1,
204,sel213,155983,q1c,N,5,
212,sel213,158182,q1c,N,5,
220,sel213,160386,q1c,N,4,
228,sel213,189246,q1c,N,13,
236,sel213,190905,q1c,N,5,
244,sel213,191180,q1c,N,5,
252,sel213,191462,q1c,N,3,
260,sel213,191740,q1c,N,4,
268,sel213,192016,q1c,N,5,
276,sel213,192297,q1c,N,5,
284,sel213,192572,q1c,N,5,
292,sel213,192854,q1c,N,5,
300,sel213,193401,q1c,N,3,
308,sel213,193683,q1c,N,3,
316,sel213,194230,q1c,N,4,
324,sel213,194508,q1c,N,4,
332,sel213,194787,q1c,N,3,
340,sel213,195072,q1c,N,5,
348,sel213,195343,q1c,N,5,
356,sel213,195625,q1c,N,4,
364,sel213,196450,q1c,N,14,
372,sel213,196727,q1c,N,4,
380,sel213,198107,q1c,N,5,
388,sel213,198659,q1c,N,4,
396,sel213,199215,q1c,N,4,
404,sel213,200860,q1c,N,3,
412,sel213,203068,q1c,N,3,
420,sel213,203612,q1c,N,5,
428,sel213,204438,q1c,N,5,
436,sel213,204714,q1c,N,5,
444,sel213,206644,q1c,N,5,
452,sel213,206923,q1c,N,3,
460,sel213,207482,q1c,N,3,
468,sel213,207761,q1c,N,5,
476,sel213,208314,q1c,N,0,
484,sel213,208584,q1c,N,3,
492,sel213,208867,q1c,N,14,
500,sel213,209143,q1c,N,3,
508,sel213,210810,q1c,N,5,
516,sel213,214147,q1c,N,14,
524,sel213,216097,q1c,N,3,
532,sel213,216657,q1c,N,4,
540,sel213,219706,q1c,N,4,
548,sel213,222190,q1c,N,3,
556,sel213,223566,q1c,N,3,
564,sel213,224107,q1c,N,8,
1,sel221,150499,q1c,N,1,
6,sel221,151248,q1c,N,1,
11,sel221,151890,q1c,N,1,
16,sel221,152053,q1c,N,1,
21,sel221,152227,q1c,N,1,
26,sel221,152379,q1c,N,1,
31,sel221,153183,q1c,N,1,
36,sel221,153355,q1c,N,1,
41,sel221,154085,q1c,N,0,
46,sel221,154257,q1c,N,1,
51,sel221,154883,q1c,N,1,
56,sel221,155591,q1c,N,1,
61,sel221,155781,q1c,N,1,
66,sel221,155948,q1c,N,1,
71,sel221,156624,q1c,N,1,
76,sel221,156818,q1c,N,1,
81,sel221,156979,q1c,N,1,
86,sel221,157177,q1c,N,1,
91,sel221,157339,q1c,N,1,
96,sel221,157545,q1c,N,1,
101,sel221,157857,q1c,N,1,
106,sel221,158117,q1c,N,1,
111,sel221,158302,q1c,N,1,
116,sel221,158477,q1c,N,1,
121,sel221,158644,q1c,N,1,
126,sel221,158839,q1c,N,1,
131,sel221,158980,q1c,N,1,
136,sel221,159132,q1c,N,1,
141,sel221,159309,q1c,N,1,
146,sel221,159450,q1c,N,1,
4,sel223,167917,q1c,N,1,
13,sel223,168087,q1c,N,1,
22,sel223,168251,q1c,N,1,
31,sel223,168421,q1c,N,1,
40,sel223,168587,q1c,N,1,
49,sel223,168759,q1c,N,1,
58,sel223,168931,q1c,N,1,
67,sel223,169100,q1c,N,1,
76,sel223,169263,q1c,N,1,
85,sel223,169434,q1c,N,1,
94,sel223,169606,q1c,N,1,
103,sel223,169776,q1c,N,1,
112,sel223,169938,q1c,N,1,
121,sel223,170105,q1c,N,1,
130,sel223,170273,q1c,N,1,
139,sel223,170444,q1c,N,1,
148,sel223,170614,q1c,N,1,
157,sel223,170789,q1c,N,1,
166,sel223,170956,q1c,N,1,
175,sel223,171133,q1c,N,1,
184,sel223,171305,q1c,N,1,
193,sel223,171476,q1c,N,1,
202,sel223,171648,q1c,N,1,
211,sel223,171818,q1c,N,1,
220,sel223,171990,q1c,N,1,
229,sel223,172166,q1c,N,1,
238,sel223,172333,q1c,N,1,
247,sel223,172500,q1c,N,1,
256,sel223,172674,q1c,N,1,
265,sel223,172852,q1c,N,1,
274,sel223,180014,q1c,N,7,
4,sel230,150204,q1c,N,1,
12,sel230,150396,q1c,N,1,
20,sel230,150585,q1c,N,1,
28,sel230,150781,q1c,N,1,
36,sel230,150981,q1c,N,1,
44,sel230,151188,q1c,N,1,
52,sel230,151387,q1c,N,1,
60,sel230,151579,q1c,N,1,
68,sel230,151768,q1c,N,2,
76,sel230,151962,q1c,N,2,
84,sel230,152157,q1c,N,2,
92,sel230,152356,q1c,N,2,
100,sel230,152554,q1c,N,2,
108,sel230,152747,q1c,N,2,
116,sel230,152940,q1c,N,2,
124,sel230,153131,q1c,N,2,
132,sel230,153333,q1c,N,2,
140,sel230,153545,q1c,N,2,
148,sel230,153767,q1c,N,2,
156,sel230,153992,q1c,N,2,
164,sel230,154222,q1c,N,1,
172,sel230,154433,q1c,N,1,
180,sel230,154638,q1c,N,2,
188,sel230,154844,q1c,N,2,
196,sel230,155050,q1c,N,2,
204,sel230,155253,q1c,N,1,
212,sel230,155451,q1c,N,1,
220,sel230,155653,q1c,N,1,
228,sel230,155856,q1c,N,1,
236,sel230,156064,q1c,N,2,
244,sel230,156275,q1c,N,2,
252,sel230,156488,q1c,N,2,
260,sel230,156707,q1c,N,2,
268,sel230,156922,q1c,N,2,
276,sel230,159674,q1c,N,1,
284,sel230,160312,q1c,N,1,
292,sel230,160529,q1c,N,1,
300,sel230,161436,q1c,N,1,
308,sel230,161658,q1c,N,1,
316,sel230,161863,q1c,N,1,
324,sel230,162067,q1c,N,1,
332,sel230,163132,q1c,N,1,
340,sel230,164683,q1c,N,1,
348,sel230,164906,q1c,N,1,
356,sel230,165580,q1c,N,1,
364,sel230,165807,q1c,N,1,
372,sel230,166033,q1c,N,1,
380,sel230,166256,q1c,N,1,
388,sel230,166476,q1c,N,1,
396,sel230,166674,q1c,N,1,
4,sel231,150382,q1c,N,1,
12,sel231,150614,q1c,N,1,
20,sel231,150847,q1c,N,1,
28,sel231,151078,q1c,N,1,
36,sel231,151305,q1c,N,1,
44,sel231,151556,q1c,N,1,
52,sel231,151800,q1c,N,1,
60,sel231,152037,q1c,N,1,
68,sel231,152280,q1c,N,1,
76,sel231,152522,q1c,N,1,
84,sel231,152754,q1c,N,1,
92,sel231,152998,q1c,N,1,
100,sel231,153235,q1c,N,1,
108,sel231,153465,q1c,N,1,
116,sel231,153690,q1c,N,1,
124,sel231,153925,q1c,N,1,
132,sel231,154150,q1c,N,1,
140,sel231,154382,q1c,N,1,
148,sel231,154616,q1c,N,1,
156,sel231,154841,q1c,N,1,
164,sel231,155266,q1c,N,2,
172,sel231,155694,q1c,N,2,
180,sel231,156136,q1c,N,2,
188,sel231,156562,q1c,N,2,
196,sel231,157002,q1c,N,2,
204,sel231,157422,q1c,N,2,
212,sel231,157836,q1c,N,1,
220,sel231,158235,q1c,N,1,
228,sel231,158634,q1c,N,1,
236,sel231,159042,q1c,N,1,
244,sel231,159437,q1c,N,1,
252,sel231,159856,q1c,N,1,
260,sel231,160264,q1c,N,1,
268,sel231,160668,q1c,N,1,
276,sel231,161072,q1c,N,1,
284,sel231,161475,q1c,N,1,
292,sel231,165984,q1c,N,2,
300,sel231,166408,q1c,N,2,
308,sel231,166831,q1c,N,2,
316,sel231,167248,q1c,N,2,
324,sel231,167650,q1c,N,2,
332,sel231,168067,q1c,N,2,
340,sel231,168470,q1c,N,2,
348,sel231,168878,q1c,N,2,
356,sel231,169285,q1c,N,2,
364,sel231,169705,q1c,N,2,
372,sel231,170137,q1c,N,2,
380,sel231,170545,q1c,N,2,
388,sel231,170975,q1c,N,2,
396,sel231,171399,q1c,N,2,
4,sel233,150297,q1c,N,1,
12,sel233,150899,q1c,N,1,
20,sel233,151487,q1c,N,1,
28,sel233,152078,q1c,N,1,
36,sel233,153116,q1c,N,1,
44,sel233,153266,q1c,N,1,
52,sel233,153416,q1c,N,1,
60,sel233,154009,q1c,N,1,
68,sel233,154158,q1c,N,1,
76,sel233,154310,q1c,N,1,
84,sel233,154458,q1c,N,1,
92,sel233,155487,q1c,N,1,
100,sel233,156224,q1c,N,1,
108,sel233,156371,q1c,N,1,
116,sel233,156517,q1c,N,1,
124,sel233,158731,q1c,N,1,
132,sel233,159621,q1c,N,1,
140,sel233,159766,q1c,N,1,
148,sel233,159913,q1c,N,1,
156,sel233,160058,q1c,N,1,
164,sel233,160204,q1c,N,1,
172,sel233,162280,q1c,N,1,
180,sel233,162426,q1c,N,1,
188,sel233,162576,q1c,N,1,
196,sel233,163174,q1c,N,1,
204,sel233,163769,q1c,N,1,
212,sel233,164360,q1c,N,1,
220,sel233,165407,q1c,N,1,
228,sel233,165555,q1c,N,1,
236,sel233,165705,q1c,N,1,
4,sel30,150399,q1c,N,1,
13,sel30,150629,q1c,N,1,
22,sel30,150859,q1c,N,1,
31,sel30,151088,q1c,N,1,
40,sel30,151322,q1c,N,1,
49,sel30,151560,q1c,N,1,
58,sel30,151795,q1c,N,1,
67,sel30,152031,q1c,N,1,
76,sel30,152267,q1c,N,1,
85,sel30,152494,q1c,N,1,
94,sel30,152723,q1c,N,1,
103,sel30,152949,q1c,N,1,
112,sel30,153177,q1c,N,1,
121,sel30,153416,q1c,N,1,
130,sel30,153653,q1c,N,1,
139,sel30,153885,q1c,N,1,
148,sel30,154121,q1c,N,1,
157,sel30,154360,q1c,N,1,
166,sel30,154592,q1c,N,1,
175,sel30,154830,q1c,N,1,
184,sel30,155070,q1c,N,1,
193,sel30,155295,q1c,N,1,
202,sel30,155528,q1c,N,1,
211,sel30,155757,q1c,N,1,
220,sel30,155985,q1c,N,1,
229,sel30,156219,q1c,N,1,
238,sel30,156452,q1c,N,1,
247,sel30,156681,q1c,N,1,
256,sel30,156911,q1c,N,1,
265,sel30,157141,q1c,N,1,
4,sel301,150249,q1c,N,1,
13,sel301,150444,q1c,N,1,
22,sel301,150638,q1c,N,1,
31,sel301,150832,q1c,N,1,
40,sel301,151025,q1c,N,1,
49,sel301,151224,q1c,N,1,
58,sel301,151425,q1c,N,1,
67,sel301,151631,q1c,N,1,
76,sel301,151833,q1c,N,1,
85,sel301,152033,q1c,N,1,
94,sel301,152238,q1c,N,1,
103,sel301,152445,q1c,N,1,
112,sel301,152660,q1c,N,1,
121,sel301,152861,q1c,N,1,
130,sel301,153070,q1c,N,1,
139,sel301,153268,q1c,N,1,
148,sel301,157077,q1c,N,1,
157,sel301,157279,q1c,N,1,
166,sel301,157481,q1c,N,1,
175,sel301,157679,q1c,N,1,
184,sel301,157877,q1c,N,1,
193,sel301,158075,q1c,N,1,
202,sel301,158275,q1c,N,1,
211,sel301,158476,q1c,N,1,
220,sel301,158672,q1c,N,1,
229,sel301,158874,q1c,N,1,
238,sel301,159077,q1c,N,1,
247,sel301,159283,q1c,N,1,
256,sel301,159478,q1c,N,1,
265,sel301,159679,q1c,N,1,
4,sel302,151150,q1c,N,1,
12,sel302,151291,q1c,N,1,
20,sel302,151431,q1c,N,1,
28,sel302,151573,q1c,N,1,
36,sel302,151717,q1c,N,1,
44,sel302,151859,q1c,N,1,
52,sel302,152001,q1c,N,1,
60,sel302,152142,q1c,N,1,
68,sel302,152290,q1c,N,1,
76,sel302,152437,q1c,N,1,
84,sel302,152582,q1c,N,1,
92,sel302,152726,q1c,N,1,
100,sel302,152878,q1c,N,1,
108,sel302,153030,q1c,N,1,
116,sel302,153182,q1c,N,1,
124,sel302,153332,q1c,N,1,
132,sel302,153490,q1c,N,1,
140,sel302,153648,q1c,N,1,
148,sel302,153802,q1c,N,1,
156,sel302,153956,q1c,N,1,
164,sel302,154114,q1c,N,1,
172,sel302,154272,q1c,N,1,
180,sel302,154425,q1c,N,1,
188,sel302,154581,q1c,N,1,
196,sel302,154740,q1c,N,1,
204,sel302,155377,q1c,N,1,
212,sel302,155536,q1c,N,1,
220,sel302,155691,q1c,N,1,
228,sel302,155845,q1c,N,1,
236,sel302,156004,q1c,N,1,
4,sel306,150290,q1c,N,1,
12,sel306,150489,q1c,N,1,
20,sel306,150692,q1c,N,1,
28,sel306,150888,q1c,N,1,
36,sel306,151095,q1c,N,1,
44,sel306,151300,q1c,N,1,
52,sel306,151499,q1c,N,1,
60,sel306,151699,q1c,N,1,
68,sel306,151907,q1c,N,1,
76,sel306,152123,q1c,N,1,
84,sel306,152336,q1c,N,1,
92,sel306,152548,q1c,N,1,
100,sel306,152765,q1c,N,1,
108,sel306,152979,q1c,N,1,
116,sel306,153188,q1c,N,1,
124,sel306,153406,q1c,N,1,
132,sel306,153627,q1c,N,1,
140,sel306,153845,q1c,N,1,
148,sel306,154076,q1c,N,1,
156,sel306,154301,q1c,N,1,
164,sel306,154524,q1c,N,1,
172,sel306,154754,q1c,N,1,
180,sel306,154980,q1c,N,1,
188,sel306,155197,q1c,N,1,
196,sel306,155423,q1c,N,1,
204,sel306,155648,q1c,N,1,
212,sel306,155859,q1c,N,1,
220,sel306,156069,q1c,N,1,
228,sel306,156282,q1c,N,1,
236,sel306,156500,q1c,N,1,
244,sel306,176991,q1c,N,2,
252,sel306,186287,q1c,N,2,
260,sel306,188584,q1c,N,2,
268,sel306,204110,q1c,N,2,
276,sel306,204565,q1c,N,2,
284,sel306,221158,q1c,N,2,
4,sel307,150420,q1c,N,1,
12,sel307,150701,q1c,N,1,
20,sel307,150991,q1c,N,1,
28,sel307,151280,q1c,N,1,
36,sel307,151571,q1c,N,1,
44,sel307,151842,q1c,N,1,
52,sel307,152090,q1c,N,1,
60,sel307,152325,q1c,N,1,
68,sel307,152574,q1c,N,1,
76,sel307,152849,q1c,N,1,
84,sel307,153132,q1c,N,1,
92,sel307,153413,q1c,N,1,
100,sel307,153693,q1c,N,1,
110,sel307,153973,q1c,N,1,
118,sel307,154264,q1c,N,1,
128,sel307,154536,q1c,N,1,
138,sel307,154816,q1c,N,1,
148,sel307,155096,q1c,N,1,
158,sel307,155368,q1c,N,1,
166,sel307,155651,q1c,N,1,
176,sel307,155925,q1c,N,1,
184,sel307,156188,q1c,N,1,
192,sel307,156425,q1c,N,1,
200,sel307,156704,q1c,N,1,
210,sel307,156950,q1c,N,1,
220,sel307,157177,q1c,N,1,
230,sel307,157401,q1c,N,1,
240,sel307,157705,q1c,N,1,
250,sel307,157988,q1c,N,1,
260,sel307,158256,q1c,N,1,
4,sel308,150327,q1c,N,1,
12,sel308,150535,q1c,N,1,
20,sel308,150747,q1c,N,1,
28,sel308,150963,q1c,N,1,
36,sel308,151839,q1c,N,1,
44,sel308,152058,q1c,N,1,
52,sel308,152271,q1c,N,1,
60,sel308,152482,q1c,N,1,
68,sel308,152699,q1c,N,1,
76,sel308,152907,q1c,N,1,
84,sel308,153115,q1c,N,1,
92,sel308,153321,q1c,N,1,
100,sel308,153531,q1c,N,1,
108,sel308,153733,q1c,N,1,
116,sel308,153933,q1c,N,1,
124,sel308,154735,q1c,N,1,
132,sel308,154939,q1c,N,1,
140,sel308,155758,q1c,N,2,
148,sel308,155972,q1c,N,2,
156,sel308,156848,q1c,N,2,
164,sel308,157080,q1c,N,2,
172,sel308,157291,q1c,N,2,
180,sel308,157505,q1c,N,1,
188,sel308,157711,q1c,N,1,
196,sel308,157925,q1c,N,1,
205,sel308,158131,q1c,N,1,
213,sel308,158344,q1c,N,1,
221,sel308,158559,q1c,N,1,
229,sel308,158765,q1c,N,1,
237,sel308,158970,q1c,N,1,
245,sel308,159179,q1c,N,1,
253,sel308,159386,q1c,N,1,
261,sel308,159587,q1c,N,1,
269,sel308,159789,q1c,N,1,
277,sel308,159995,q1c,N,1,
285,sel308,164222,q1c,N,2,
293,sel308,173220,q1c,N,2,
301,sel308,173428,q1c,N,2,
309,sel308,173640,q1c,N,2,
317,sel308,173853,q1c,N,2,
325,sel308,174063,q1c,N,2,
333,sel308,174275,q1c,N,2,
341,sel308,174484,q1c,N,2,
349,sel308,177843,q1c,N,2,
357,sel308,178056,q1c,N,2,
365,sel308,178265,q1c,N,2,
373,sel308,178475,q1c,N,2,
381,sel308,178676,q1c,N,2,
389,sel308,180953,q1c,N,2,
397,sel308,199458,q1c,N,2,
4,sel31,150292,q1c,N,1,
13,sel31,150495,q1c,N,1,
22,sel31,150698,q1c,N,1,
31,sel31,150900,q1c,N,1,
40,sel31,151106,q1c,N,1,
49,sel31,151313,q1c,N,1,
58,sel31,151520,q1c,N,1,
67,sel31,151729,q1c,N,1,
76,sel31,151939,q1c,N,1,
85,sel31,152150,q1c,N,1,
94,sel31,152363,q1c,N,1,
103,sel31,152575,q1c,N,1,
112,sel31,152788,q1c,N,1,
121,sel31,153001,q1c,N,1,
130,sel31,153214,q1c,N,1,
139,sel31,153426,q1c,N,1,
148,sel31,153640,q1c,N,1,
157,sel31,153852,q1c,N,1,
166,sel31,154064,q1c,N,1,
175,sel31,154273,q1c,N,1,
184,sel31,154482,q1c,N,1,
193,sel31,154696,q1c,N,1,
202,sel31,154903,q1c,N,1,
211,sel31,155115,q1c,N,1,
220,sel31,155324,q1c,N,1,
229,sel31,155533,q1c,N,1,
238,sel31,155740,q1c,N,1,
247,sel31,155949,q1c,N,1,
256,sel31,156153,q1c,N,1,
265,sel31,156358,q1c,N,1,
1,sel310,150165,q1c,N,1,
8,sel310,150288,q1c,N,1,
15,sel310,150412,q1c,N,1,
22,sel310,150535,q1c,N,1,
29,sel310,150657,q1c,N,1,
36,sel310,150779,q1c,N,1,
43,sel310,150901,q1c,N,1,
50,sel310,151023,q1c,N,1,
57,sel310,151143,q1c,N,1,
64,sel310,151264,q1c,N,1,
71,sel310,151386,q1c,N,1,
78,sel310,151509,q1c,N,1,
85,sel310,151631,q1c,N,1,
92,sel310,151753,q1c,N,1,
99,sel310,151876,q1c,N,1,
106,sel310,152000,q1c,N,1,
113,sel310,152124,q1c,N,1,
120,sel310,152248,q1c,N,1,
127,sel310,152370,q1c,N,1,
134,sel310,152492,q1c,N,1,
141,sel310,152613,q1c,N,1,
148,sel310,152734,q1c,N,1,
155,sel310,152856,q1c,N,1,
162,sel310,152978,q1c,N,1,
169,sel310,153099,q1c,N,1,
176,sel310,153221,q1c,N,1,
183,sel310,154070,q1c,N,1,
190,sel310,154191,q1c,N,1,
197,sel310,154311,q1c,N,1,
204,sel310,154430,q1c,N,1,
4,sel32,150358,q1c,N,2,
13,sel32,150544,q1c,N,2,
22,sel32,150726,q1c,N,2,
31,sel32,150908,q1c,N,2,
40,sel32,151091,q1c,N,2,
49,sel32,151275,q1c,N,2,
58,sel32,151459,q1c,N,2,
67,sel32,151645,q1c,N,2,
76,sel32,151831,q1c,N,2,
85,sel32,152016,q1c,N,2,
94,sel32,152201,q1c,N,2,
103,sel32,152386,q1c,N,2,
112,sel32,152569,q1c,N,2,
121,sel32,152750,q1c,N,2,
130,sel32,152933,q1c,N,2,
139,sel32,153114,q1c,N,2,
148,sel32,153291,q1c,N,2,
157,sel32,153471,q1c,N,2,
166,sel32,153651,q1c,N,2,
175,sel32,153830,q1c,N,2,
184,sel32,154008,q1c,N,2,
193,sel32,154188,q1c,N,2,
202,sel32,154366,q1c,N,2,
211,sel32,154546,q1c,N,2,
220,sel32,154726,q1c,N,2,
229,sel32,154906,q1c,N,2,
238,sel32,155084,q1c,N,2,
247,sel32,155265,q1c,N,2,
256,sel32,155443,q1c,N,2,
265,sel32,155620,q1c,N,2,
